addressFrom,addressTo,value
0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,0x00000058baccda12cf345edc9d99613cf1312b91,0.0000000
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x215105abd36a28306ddbcc20bafb24ae863796be,0.0000184
0xe93381fb4c4f14bda253907b18fad305d799241a,0x93aee318b07a863a33a0fb1d1ce730e3347167ee,0.0152508
0x100aceca80c6384636cbd81428ce85f588da38e5,0xf4fa0a41296503a44f96a7b0b8a3d5484a37757b,0.0002707
0xf70da521a277123f161d592ec086eeded41d6908,0x5958cca2f1a8360231f748e85c1f779ba832ddfb,0.8282256
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdafd66636e2561b0284edde37e42d192f2844d40,0.0000003
0xd629e627b2d35120d3afdfaa0d742500be63de00,0x4328c8ef27b15820c77b927ec14e824a189cfe40,0.0002128
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x93e3dc6e2e5e5566cc453ffc8f6dc4cac73fd6e4,0.0000211
0x59a5208b32e627891c389ebafc644145224006e8,0x07205f75fb83d8a127bbc74e8040a26127425130,0.0010236
0x5c4c288681402bc0c728b1c3308b1e51aaa3b213,0x9cd83be15a79646a3d22b81fc8ddf7b7240a62cb,0.0016012
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xc7f26588f5e0925045966722928f155ac4fcac98,0.0041255
0xad2021fe210e3f26d418eabc14be619a993ed3ed,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.0004366
0xbdf5b4aed51d9f77b5e808802355ebecab823185,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0.0000359
0xc10f8ebe717e78447b6885048947b05006b82f8b,0x4c6007e38ce164ed80ff8ff94192225fcdac68cd,0.0001296
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.0000025
0x5c799390b60cc42bc133741fd8a827eb03acca02,0xb739d0895772dbb71a89a3754a160269068f0d45,0.0003361
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.0602491
0xe93381fb4c4f14bda253907b18fad305d799241a,0x52ed8e90b86ce6fc7476472020512348432762c9,0.0003968
0x153903c5e415212afcc5e835782990ad55260a5b,0x56ff955272c7a4de10146f4f1c77a48950df17dc,0.0000003
0xb33e89deb314f40b5c09d7a4b5b6da06cfc1b956,0x5958cca2f1a8360231f748e85c1f779ba832ddfb,0.0989552
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,0x7452e7d530078dbd6a2ed65007bea00a4d60f138,0.0000254
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x38a735729a946742e8d4c714a58f3e6a4f1c2921,0.0177696
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,0xfff6b41a29881fc97bd6e8778529b1e37597d94a,0.0001525
0x2e4f9b5b6f890f0d39a11311281f0f80b4dfea0d,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0025263
0x3326ed98b05b4fbfafcd844eff249850b56f93c3,0xc10f8ebe717e78447b6885048947b05006b82f8b,0.0001296
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0016862
0xd629e627b2d35120d3afdfaa0d742500be63de00,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.0014893
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0x621fafce1950c0329b425c5ea82428bb195f0237,0.0002473
0x2fa103d8d88dc2d7da24fc723a3465fb00b0479c,0xbb73d98822903bbdd00188140ac3a9c61bb00605,0.0000003
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xfc2f592ed0e0447c6c0e75350940fc069c2ba1e6,0.0005083
0xa12a918aa308dc665bdf54dfdee3840157354177,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0.0139784
0x86611091d4ca6576cefcb89a06023fe266501621,0x80c6917896dd1907fdbdba59ead6aa096286aa98,0.0000107
0x6d9893fa101cd2b1f8d1a12de3189ff7b80fdc10,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.0000000
0x28c6c06298d514db089934071355e5743bf21d60,0xe450cb9231a24c9b157ece47dc153c64f0714f7f,0.0014898
